"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:03:50,5136407","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 720.896, Length: 131.072"
"20:03:50,6472474","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 851.968, Length: 131.072"
"20:03:50,8504834","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 983.040, Length: 131.072"
"20:03:52,0745273","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.114.112, Length: 131.072"
"20:03:52,1582801","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.245.184, Length: 131.072"
"20:03:52,2710953","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.376.256, Length: 131.072"
"20:03:52,4120376","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.507.328, Length: 131.072"
"20:03:53,5533636","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.638.400, Length: 131.072"
"20:03:53,7136564","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.769.472, Length: 131.072"
"20:03:55,1342111","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 1.900.544, Length: 131.072"
"20:03:55,3567512","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.031.616, Length: 131.072"
